,Pocket Cards,Pair,Suited,Connected,Win Pct1,Win Pct2,Win Pct3,Win Pct4,Win Pct5,Win Pct6,Win Pct7,Win Pct8
47,"[(6, 'Club'), (10, 'Club')]",False,True,False,54.0,39.0,26.0,16.0,19.0,17.0,10.0,19.0
48,"[(2, 'Club'), (3, 'Diamond')]",False,False,True,30.0,23.0,9.0,16.0,16.0,9.0,8.0,6.0
49,"[(5, 'Diamond'), (13, 'Club')]",False,False,False,57.99999999999999,39.0,27.0,22.0,22.0,14.000000000000002,15.0,10.0
50,"[(4, 'Club'), (6, 'Heart')]",False,False,False,43.0,35.0,21.0,17.0,15.0,6.0,4.0,8.0
51,"[(7, 'Diamond'), (13, 'Diamond')]",False,True,False,70.0,32.0,28.999999999999996,22.0,20.0,20.0,26.0,16.0
52,"[(4, 'Diamond'), (10, 'Spade')]",False,False,False,41.0,34.0,23.0,15.0,15.0,12.0,10.0,7.000000000000001
53,"[(13, 'Club'), (14, 'Club')]",False,True,True,65.0,44.0,31.0,34.0,32.0,32.0,28.999999999999996,28.999999999999996
54,"[(11, 'Heart'), (11, 'Club')]",True,False,False,85.0,66.0,50.0,44.0,28.999999999999996,26.0,20.0,25.0
55,"[(4, 'Heart'), (7, 'Diamond')]",False,False,False,48.0,25.0,18.0,13.0,21.0,11.0,5.0,6.0
56,"[(11, 'Spade'), (14, 'Diamond')]",False,False,False,65.0,54.0,44.0,26.0,42.0,18.0,14.000000000000002,25.0
57,"[(8, 'Diamond'), (8, 'Club')]",True,False,False,83.0,59.0,32.0,31.0,33.0,20.0,25.0,25.0
58,"[(10, 'Diamond'), (13, 'Heart')]",False,False,False,67.0,42.0,28.000000000000004,25.0,21.0,17.0,22.0,20.0
59,"[(11, 'Diamond'), (12, 'Heart')]",False,False,True,52.0,51.0,33.0,30.0,31.0,18.0,19.0,19.0
60,"[(3, 'Heart'), (5, 'Club')]",False,False,False,45.0,26.0,18.0,18.0,15.0,7.000000000000001,9.0,8.0
61,"[(10, 'Diamond'), (12, 'Club')]",False,False,False,55.00000000000001,32.0,25.0,28.999999999999996,26.0,26.0,17.0,16.0
62,"[(8, 'Club'), (12, 'Heart')]",False,False,False,56.99999999999999,32.0,32.0,20.0,21.0,11.0,8.0,13.0
