pocket_cards,pair,suited,connected,win_pct1,win_pct2,win_pct3,win_pct4,win_pct5,win_pct6,win_pct7,win_pct8
4h_7c,FALSE,FALSE,FALSE,43.3,31.2,21.4,16.3,13.9,13.5,13.5,7.8
2s_5c,FALSE,FALSE,FALSE,39.5,25.7,16.1,14,11.4,10.6,9.2,7.9
5h_8d,FALSE,FALSE,FALSE,46.9,29.9,20,16.9,12.8,13.7,12.5,8.6
6d_Ks,FALSE,FALSE,FALSE,56.7,36,27.9,24.2,19.9,14.7,15,13.3
8s_Jh,FALSE,FALSE,FALSE,53.2,36.5,28.7,19.5,17.4,16.3,13.9,13
2c_5h,FALSE,FALSE,FALSE,41.6,22.5,18.8,13.8,13.1,9.7,11.2,8.4
3s_Td,FALSE,FALSE,FALSE,47.5,30.5,21.7,16.3,13.2,11.2,9.7,8.2
3s_As,FALSE,TRUE,FALSE,59.9,38.5,32.7,28.8,24.9,19.5,19.9,20
2d_8d,FALSE,TRUE,FALSE,46.3,27.9,19.9,17,15.6,12.4,10.8,11.6
Jd_Kc,FALSE,FALSE,FALSE,61.7,41.4,33.4,29.7,23.4,20.4,18.9,17.6
5d_Th,FALSE,FALSE,FALSE,48.8,29.1,24.7,17.3,14.4,12.6,13.4,10.5
2s_4d,FALSE,FALSE,FALSE,39.2,23.1,15.6,12.5,10.5,10,7.6,8.8
4s_Qh,FALSE,FALSE,FALSE,53.3,35.7,23.5,19.8,14,14.2,10.2,9.9
5h_Jd,FALSE,FALSE,FALSE,49.7,32.1,22.6,17.7,13.9,14.3,11,10.2
Jh_Ah,FALSE,TRUE,FALSE,68.8,49.4,43,31.8,29,27.1,22.5,22.9
3c_Tc,FALSE,TRUE,FALSE,49,31.6,25.4,19.8,16.1,16.1,15,14.8
2h_9c,FALSE,FALSE,FALSE,43.6,25.8,19.7,15.4,12.2,11.3,9.2,8.2
9d_Kc,FALSE,FALSE,FALSE,59.8,40.8,30.7,24.6,23.4,19.3,16.8,13
3d_4c,FALSE,FALSE,TRUE,42.3,27.4,18.5,14.4,12.3,10.7,11.1,8.5
7d_8h,FALSE,FALSE,TRUE,49.1,32.9,27.6,20.2,15.4,13.2,12.4,12.2
4h_Th,FALSE,TRUE,FALSE,50.3,33.5,24.9,22.2,18.6,15.1,15,12
7h_Qh,FALSE,TRUE,FALSE,54.9,38.5,28.5,23.9,21.3,16.4,19.7,15
5s_Qd,FALSE,FALSE,FALSE,51.4,35.4,25.9,19,15.6,13.6,11.3,9.1
2h_5s,FALSE,FALSE,FALSE,41,23.6,18.6,14.1,11.3,9.9,10,8.2
8s_Jd,FALSE,FALSE,FALSE,53.4,38.2,27.6,23.3,16.4,16.1,13.5,10.2
2h_Qc,FALSE,FALSE,FALSE,50.6,29.6,21.8,17.7,16.8,12,11.4,9
5c_Ac,FALSE,TRUE,FALSE,64.3,42.3,32.2,25.3,23.3,22.6,19.9,20.5
8s_Qc,FALSE,FALSE,FALSE,56.2,38.8,29.7,23.9,18.3,16.3,16.5,11.9
4d_Th,FALSE,FALSE,FALSE,47.7,30.5,23,15.8,12.1,12.1,10.4,8.6
2h_8d,FALSE,FALSE,FALSE,43.9,24.7,18.5,13.8,11.3,8.9,7.4,5.9
4s_6c,FALSE,FALSE,FALSE,42.6,29.3,23.1,15.6,14.4,13,11.7,9.6
2d_Qd,FALSE,TRUE,FALSE,53.1,35.7,27.9,21.9,17.3,15.4,14.5,12.3
4c_Tc,FALSE,TRUE,FALSE,51.5,33.8,26.5,20.2,18.6,14.5,13.7,12.5
4h_5s,FALSE,FALSE,TRUE,44.4,28.2,22.4,16.2,14.5,14.4,12.6,10.2
3d_9c,FALSE,FALSE,FALSE,44.4,28.8,18.3,14.2,12.8,10.7,9.5,8.2
4s_Ah,FALSE,FALSE,FALSE,59,39.4,31.4,23.9,22.6,19.8,16.2,13.1
8h_Jc,FALSE,FALSE,FALSE,54.6,39.7,27.9,23.5,18.7,15,13.6,12.3
8c_Th,FALSE,FALSE,FALSE,54.7,38.1,27,21.3,18.8,18.2,14.7,13.7
Jc_Qs,FALSE,FALSE,TRUE,61.4,45.4,32.6,26.5,26.4,21.6,17.2,16.4
2c_4d,FALSE,FALSE,FALSE,40.7,22.3,17,13.7,12,8.1,6.9,7.7
3s_4c,FALSE,FALSE,TRUE,42.5,24.6,19.6,14.3,15.4,10.6,10,10.3
8h_Kc,FALSE,FALSE,FALSE,61,41.8,28.3,23.5,21.4,15.6,15.1,12.6
2s_4h,FALSE,FALSE,FALSE,40.5,23.9,16,14.1,10.8,7.6,7.6,7.6
Jd_Ah,FALSE,FALSE,FALSE,65.4,47.1,32.6,32.6,26.2,20.6,18,17.8
Jh_Js,TRUE,FALSE,FALSE,80.6,60.8,52,40.5,34.2,30.3,22.8,23.1
3d_Ah,FALSE,FALSE,FALSE,57.5,41,28.9,25,23.1,17,15,14.4
4h_8c,FALSE,FALSE,FALSE,43.2,28,21.1,14.4,13.7,10.6,9.7,7.8
Td_As,FALSE,FALSE,FALSE,63.9,46.5,35.8,28.2,24.2,24.8,20,16.6
2s_9s,FALSE,TRUE,FALSE,47.1,27.6,22.8,17.6,15.2,14.6,11.3,11.6
7h_Tc,FALSE,FALSE,FALSE,52,31.2,25.9,20.8,16.8,12.7,14.4,13.4
5s_Tc,FALSE,FALSE,FALSE,51,30.1,20.5,17,15.1,13,10.9,10.4
6h_Jc,FALSE,FALSE,FALSE,51.5,35,24.4,17.8,17.5,13.4,12,11.1
Jd_Ad,FALSE,TRUE,FALSE,68.2,47.8,39.2,34.7,31.8,25.4,25.7,20.3
4s_9c,FALSE,FALSE,FALSE,46.1,28.9,22.1,13.3,12.8,9.7,8,8.2
Kh_Ac,FALSE,FALSE,TRUE,65.2,49.7,40,33.7,30.4,25.6,23.4,20.5
3d_Jd,FALSE,TRUE,FALSE,51.7,34.3,26.7,22.3,17.6,16.2,14.9,12.3
4h_9h,FALSE,TRUE,FALSE,48.4,30.5,22.5,16.8,15.7,14.8,13.3,11.2
5c_Qd,FALSE,FALSE,FALSE,52.7,32.3,23.9,21.9,15,12.8,11.6,12.2
9d_Qh,FALSE,FALSE,FALSE,55.3,41.2,29.3,24.8,18.9,17.6,15,12.8
3h_9h,FALSE,TRUE,FALSE,47.9,31.9,25.5,19,16.4,13.6,15.2,10.4
4h_8h,FALSE,TRUE,FALSE,45.3,31.7,24.6,19.9,16.4,13.8,13.9,12.3
9d_Jd,FALSE,TRUE,FALSE,55.7,40.4,35.4,27.5,24.1,22.3,18.5,14.7
8c_Ks,FALSE,FALSE,FALSE,57.8,36.3,28.8,24.6,19,16.5,15,13.6
6h_9d,FALSE,FALSE,FALSE,49.1,31.1,24.6,19.3,16,13.6,9.7,10.3
8d_Ah,FALSE,FALSE,FALSE,62.6,42.3,31.8,25.4,22.3,18.4,14,16.4
5h_Ad,FALSE,FALSE,FALSE,58.6,39.5,30.4,25.1,21.7,17.5,15.7,14.7
6d_Ah,FALSE,FALSE,FALSE,58.7,40,29.1,22.9,20.7,15.1,14.1,12.8
3s_Qs,FALSE,TRUE,FALSE,55.3,35.7,28.4,22.9,21.3,18.4,14.8,14.1
7h_Ks,FALSE,FALSE,FALSE,57.9,39.6,29.6,22.9,19.6,17.2,12.6,11.2
8h_As,FALSE,FALSE,FALSE,61.2,42.2,33.8,25.3,21.4,16.6,16,15.4
4c_5s,FALSE,FALSE,TRUE,43.4,30.7,19.8,18,16.1,13.3,12.1,10.2
6h_9c,FALSE,FALSE,FALSE,49.3,33.4,24.1,18.2,17.3,13.1,12,9.7
3h_5s,FALSE,FALSE,FALSE,41.6,26.1,18.4,16,12.6,10.6,10.8,11
4h_Ts,FALSE,FALSE,FALSE,46.5,32.9,22.2,18.2,13.1,9.1,10.8,9.4
2c_Kd,FALSE,FALSE,FALSE,50.1,36.1,26.2,18.8,16,16,11.9,9.7
3d_6d,FALSE,TRUE,FALSE,45.5,28.2,24.4,17.9,17,13.7,12.6,12
3d_Ks,FALSE,FALSE,FALSE,53.5,34.3,26.4,19.7,19.4,15.9,11.3,11
3c_Th,FALSE,FALSE,FALSE,44.7,29.3,20.5,15.8,11.3,11.4,8.9,8.8
5c_5s,TRUE,FALSE,FALSE,61,41,28.5,22.6,19.8,17.1,14.3,14.4
5c_Ks,FALSE,FALSE,FALSE,53.5,35.4,28.5,21.5,17.4,15.6,13.2,11.3
6d_Jh,FALSE,FALSE,FALSE,53.6,32,25.2,18.1,14.3,11.7,11.8,8.4
7s_As,FALSE,TRUE,FALSE,63.1,44.6,33.3,30.1,26.2,22.8,19.3,17.7
Jc_Kc,FALSE,TRUE,FALSE,63.1,48.8,38.2,32.6,28,24.7,23.1,22
6c_7s,FALSE,FALSE,TRUE,49,33.2,25.6,18.7,15.3,13.9,10.9,11.1
8d_Qc,FALSE,FALSE,FALSE,55.3,36.2,27.4,25.3,17.3,17.8,14.5,13.4
9h_Th,FALSE,TRUE,TRUE,58.5,40.9,33,26.3,23.3,21.7,18.6,18.5
9s_Ac,FALSE,FALSE,FALSE,61.1,42.7,33.5,25.4,20.1,20.4,18.1,13.2
3s_7d,FALSE,FALSE,FALSE,38.5,24.6,18.6,15.9,11.2,9.5,7.5,9.6
7h_7s,TRUE,FALSE,FALSE,67.7,44.4,38,28.8,22.8,16.9,16.7,16.4
5c_6d,FALSE,FALSE,TRUE,44.1,31.9,22.7,18.2,14.6,12.6,13,10.4
8s_9d,FALSE,FALSE,TRUE,49.2,36,29.4,20.9,18.9,15.1,13.6,11.1
7s_8h,FALSE,FALSE,TRUE,49.8,35,22.8,21.5,18.5,14.5,11.2,13.3
7h_9d,FALSE,FALSE,FALSE,50.2,32.7,24.8,22,17.8,14.5,13.1,11.7
5h_Ks,FALSE,FALSE,FALSE,54.8,35.5,27,22,17.4,17.5,13.4,10.6
8h_Kh,FALSE,TRUE,FALSE,58.1,42,32.5,30,24.5,20.9,19.3,17.6
9c_Ts,FALSE,FALSE,TRUE,52,39.1,30.9,26.6,20.9,17.9,15.1,15.5
4c_Ts,FALSE,FALSE,FALSE,48.1,29.8,22.7,16.6,15.5,11.6,10,9.5
Qh_Ks,FALSE,FALSE,TRUE,60.8,45.5,38.2,30,28.4,23.6,19.3,18.2
5s_Qh,FALSE,FALSE,FALSE,53.1,35.1,24.1,21.8,15.6,15.3,11.7,10.7
5d_7h,FALSE,FALSE,FALSE,45.9,30.5,21.2,19.7,14.2,13.8,11.2,8.1
Tc_Qd,FALSE,FALSE,FALSE,56.5,43.4,31.6,27.3,21.3,20.5,17.5,16.9
5s_7h,FALSE,FALSE,FALSE,46.5,30.3,21.2,17.6,15.2,13.1,12.7,9.6
